時間,timeStep,TSPS,cube0PosX,cube0PosY,cube0PosZ,cube0RotX,cube0RotY,cube0RotZ,cube0VelX,cube0VelY,cube0VelZ,cube0AngVelX,cube0AngVelY,cube0AngVelZ,cube0Density,cube0Mass,cube0HWD,cube0SF,cube0DF,cube0CR,cube1PosX,cube1PosY,cube1PosZ,cube1RotX,cube1RotY,cube1RotZ,cube1VelX,cube1VelY,cube1VelZ,cube1AngVelX,cube1AngVelY,cube1AngVelZ,cube1Density,cube1Mass,cube1HWD,cube1SF,cube1DF,cube1CR,cube2PosX,cube2PosY,cube2PosZ,cube2RotX,cube2RotY,cube2RotZ,cube2VelX,cube2VelY,cube2VelZ,cube2AngVelX,cube2AngVelY,cube2AngVelZ,cube2Density,cube2Mass,cube2HWD,cube2SF,cube2DF,cube2CR,,並進バネ,並進ダンパ,回転バネ,回転ダンパ,floorDF,floorSF,floorCR,
0.483537,0.024718,0,-2.00035,0.298808,4.97514e-05,-0.00032881,0.00183039,-0.0448614,-0.00797317,0.0143394,0.00161148,-0.00231496,0.00649079,-0.0379921,500,62.5,0.5,100,100,0,2.0003,0.299038,-5.89824e-05,0.00123913,0.00112845,0.0398242,0.00376182,0.0216677,-0.000653984,-0.0035439,0.00680937,0.0254912,500,62.5,0.5,100,100,0,1.96675e-08,0.5,8.64178e-09,-2.71662e-06,2.80001e-06,4.7633e-05,-0.000164992,-2.96063e-05,9.8616e-05,6.64341e-05,-2.35966e-06,8.04521e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.504685,0.021148,0,-2.0003,0.298847,4.58367e-05,-0.000669951,0.00132058,-0.0445045,-0.00382501,0.00858612,0.000975505,-0.00199621,0.00532895,-0.0377059,500,62.5,0.5,100,100,0,2.00023,0.299063,-4.50877e-05,-0.00128602,0.00155982,0.0375243,-5.64784e-05,0.0137752,9.68958e-05,-0.00713203,0.00611596,0.0274228,500,62.5,0.5,100,100,0,1.11697e-07,0.5,3.57167e-09,-9.97973e-06,3.83585e-07,3.49493e-05,-0.000162612,-2.63104e-05,0.000100707,7.79623e-05,-2.23874e-06,8.65669e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.526053,0.021368,0,-2.00023,0.298826,3.84034e-05,-0.000200691,0.00109211,-0.0424603,-0.000946284,0.0035988,0.000450661,-0.000868657,0.00464109,-0.0322817,500,62.5,0.5,100,100,0,2.00016,0.299019,-2.93758e-05,-0.000516149,0.00075768,0.0377773,-0.00217733,0.00713377,0.000552305,-0.00255334,0.0031247,0.027682,500,62.5,0.5,100,100,0,9.20896e-08,0.5,1.2833e-08,-6.01952e-06,-2.3897e-08,4.26417e-05,-0.000164374,-2.73419e-05,0.000100899,7.45497e-05,-2.28409e-06,8.4934e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.545397,0.019344,0,-2.00017,0.298775,2.9384e-05,-0.000170771,0.000907053,-0.0406268,0.000948877,0.000132058,7.04387e-05,-0.00153925,0.00367981,-0.0267026,500,62.5,0.5,100,100,0,2.00009,0.298938,-1.54134e-05,0.000646588,0.000234118,0.0359763,-0.00303828,0.00234796,0.000749547,-0.00103715,0.00183036,0.0200205,500,62.5,0.5,100,100,0,1.10159e-07,0.5,8.17204e-09,-1.36762e-05,2.27962e-06,3.11337e-05,-0.000163055,-2.63382e-05,0.000100487,7.80999e-05,-2.27675e-06,8.61963e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.570306,0.024909,0,-2.00011,0.298715,2.03069e-05,-0.000430619,0.000587618,-0.0393458,0.00198797,-0.0017515,-0.000180351,-0.00215618,0.00253457,-0.02096,500,62.5,0.5,100,100,0,2.00004,0.298847,-4.83653e-06,0.000217588,0.000263288,0.0340016,-0.00292935,-0.000523143,0.000715996,-0.00232763,0.0015586,0.0130622,500,62.5,0.5,100,100,0,3.48459e-08,0.5,4.08756e-08,3.25422e-06,1.87432e-06,5.65069e-05,-0.000163739,-2.8905e-05,0.000100869,6.8508e-05,-2.24448e-06,8.02503e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.59964,0.029334,0,-2.00006,0.298659,1.21484e-05,-0.000471652,0.000423462,-0.0380613,0.00238809,-0.0025793,-0.000320778,-0.00220627,0.00187479,-0.0152453,500,62.5,0.5,100,100,0,2,0.298762,2.33842e-06,0.000144801,0.000151977,0.0329546,-0.00254958,-0.00201912,0.000574291,-0.00134665,0.000794048,0.00778684,500,62.5,0.5,100,100,0,5.06155e-08,0.5,2.10792e-08,-3.72043e-06,1.37916e-06,4.4252e-05,-0.000163922,-2.78246e-05,9.96608e-05,7.27887e-05,-2.30535e-06,8.39827e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.623539,0.023899,0,-2.00002,0.298614,5.45821e-06,-0.00051189,0.000319202,-0.0371432,0.00234,-0.00257777,-0.000378123,-0.00229327,0.00129988,-0.0109973,500,62.5,0.5,100,100,0,1.99998,0.298692,6.11444e-06,0.000641838,4.87377e-05,0.0318962,-0.00188017,-0.00241578,0.00037638,-3.41311e-05,0.000461889,0.00289659,500,62.5,0.5,100,100,0,1.56433e-07,0.5,1.695e-08,-1.1309e-05,-6.49564e-08,3.1831e-05,-0.000162845,-2.63323e-05,0.000100881,7.79668e-05,-2.23564e-06,8.68759e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.652773,0.029234,0,-1.99999,0.298585,6.06071e-07,-0.000506014,0.000235729,-0.0365766,0.00195423,-0.00198139,-0.000359778,-0.00230812,0.000855123,-0.00812044,500,62.5,0.5,100,100,0,1.99997,0.298643,6.96365e-06,0.000794867,5.73516e-05,0.0314097,-0.00110477,-0.00197619,0.000165546,-5.37949e-05,0.000387403,2.97534e-05,500,62.5,0.5,100,100,0,1.93473e-08,0.5,5.25468e-08,1.90427e-05,4.09557e-06,7.42606e-05,-0.000164565,-2.92105e-05,0.000100896,6.76752e-05,-2.27679e-06,7.97126e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.678794,0.026021,0,-1.99998,0.298569,-2.57267e-06,-0.000507245,0.000186521,-0.0363518,0.00148351,-0.00124386,-0.000301875,-0.00233241,0.000687043,-0.00640961,500,62.5,0.5,100,100,0,1.99997,0.298613,5.8751e-06,0.000687837,6.6744e-05,0.0311813,-0.000484097,-0.00128248,-7.24561e-06,-0.000194067,0.000364506,-0.0016926,500,62.5,0.5,100,100,0,9.60506e-08,0.5,-2.78789e-08,-4.05837e-06,-2.51899e-07,4.62024e-05,-0.000164901,-2.75807e-05,9.79102e-05,7.41944e-05,-2.39917e-06,8.66429e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.704177,0.025383,0,-1.99997,0.298565,-4.18878e-06,-0.000527696,0.000219845,-0.036248,0.000984093,-0.00046746,-0.000222581,-0.00222709,0.000696059,-0.00537991,500,62.5,0.5,100,100,0,1.99998,0.298599,3.77136e-06,0.000751433,0.00013449,0.0312239,-3.23267e-05,-0.000467772,-0.000125489,0.000135182,0.000519056,-0.00232365,500,62.5,0.5,100,100,0,1.27373e-07,0.5,-6.06288e-08,-1.07621e-05,3.03823e-06,3.37664e-05,-0.000164032,-2.65535e-05,9.95423e-05,7.73605e-05,-2.33209e-06,8.71262e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.725919,0.021742,0,-1.99998,0.298568,-4.67167e-06,-0.00045819,0.000234325,-0.0360761,0.000544593,0.000108131,-0.000144858,-0.00200094,0.00056797,-0.00495086,500,62.5,0.5,100,100,0,1.99998,0.298595,1.47629e-06,0.000839439,0.000138475,0.0312891,0.000233429,0.000214982,-0.000184243,0.000223574,0.000552456,-0.00234103,500,62.5,0.5,100,100,0,4.53143e-08,0.5,2.24264e-09,2.17887e-06,-1.50578e-07,6.21724e-05,-0.000163897,-2.83618e-05,0.00010249,7.07229e-05,-2.20278e-06,8.11265e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.749834,0.023915,0,-1.99998,0.298575,-4.40966e-06,-0.000427324,0.000224797,-0.0362544,0.000238766,0.000518731,-7.87325e-05,-0.00188021,0.000683349,-0.0053204,500,62.5,0.5,100,100,0,1.99999,0.298598,-4.7704e-07,0.000806865,0.000152877,0.0314085,0.000316807,0.000689685,-0.000185908,4.36242e-05,0.000521841,-0.00175739,500,62.5,0.5,100,100,0,5.37998e-09,0.5,8.74197e-09,-4.83388e-06,1.2285e-06,5.01027e-05,-0.000164537,-2.81907e-05,0.000100709,7.17906e-05,-2.29117e-06,8.28938e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
