時間,timeStep,TSPS,cube0PosX,cube0PosY,cube0PosZ,cube0RotX,cube0RotY,cube0RotZ,cube0VelX,cube0VelY,cube0VelZ,cube0AngVelX,cube0AngVelY,cube0AngVelZ,cube0Density,cube0Mass,cube0HWD,cube0SF,cube0DF,cube0CR,cube1PosX,cube1PosY,cube1PosZ,cube1RotX,cube1RotY,cube1RotZ,cube1VelX,cube1VelY,cube1VelZ,cube1AngVelX,cube1AngVelY,cube1AngVelZ,cube1Density,cube1Mass,cube1HWD,cube1SF,cube1DF,cube1CR,cube2PosX,cube2PosY,cube2PosZ,cube2RotX,cube2RotY,cube2RotZ,cube2VelX,cube2VelY,cube2VelZ,cube2AngVelX,cube2AngVelY,cube2AngVelZ,cube2Density,cube2Mass,cube2HWD,cube2SF,cube2DF,cube2CR,,並進バネ,並進ダンパ,回転バネ,回転ダンパ,floorDF,floorSF,floorCR,
0.183401,0.183401,0,-2,0.3,-4.77516e-09,0,0,0,0.0559575,0.00381907,-0.00527873,0.00821783,-0.017493,-0.0414335,500,62.5,0.5,100,100,0,2,0.3,4.98775e-09,0,0,0,-0.0543575,0.00130861,0.00243419,-0.0115621,0.0336354,-0.0820613,500,62.5,0.5,100,100,0,2.57563e-08,0.5,-2.16225e-10,0,0,0,7.36955e-06,-7.36138e-06,1.99473e-08,2.96692e-08,4.81865e-10,-1.47257e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.209624,0.026223,0,-1.99943,0.299613,-6.91599e-05,-0.00113812,-0.0107509,-0.0625836,0.0463202,-0.0304686,-0.00560021,-0.000274754,-0.0152289,-0.0870956,500,62.5,0.5,100,100,0,1.99948,0.299566,3.19472e-05,-0.00852598,0.0235421,-0.0159139,-0.042552,-0.0340948,0.00287759,-0.0127273,0.0288367,-0.0194656,500,62.5,0.5,100,100,0,1.4354e-07,0.5,2.21502e-08,-6.05901e-07,1.47129e-06,3.87509e-05,-0.000153536,-2.60914e-05,9.62411e-05,7.08831e-05,-2.06814e-06,7.87543e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.234461,0.024837,0,-1.99926,0.299,-7.90624e-05,0.00117968,0.00239328,-0.0190706,0.0215005,-0.0490022,-0.00250637,0.0013305,0.00934762,0.0572884,500,62.5,0.5,100,100,0,1.99932,0.299001,6.3689e-05,0.0032524,-0.0108006,0.0447042,-0.0193003,-0.0502636,0.00188898,0.0168513,-0.0394619,0.0609296,500,62.5,0.5,100,100,0,1.63898e-07,0.5,1.23524e-08,8.25519e-07,6.75685e-08,4.77375e-05,-0.000163268,-2.77433e-05,9.97906e-05,7.27494e-05,-2.27848e-06,8.3553e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.260009,0.025548,0,-1.99932,0.298462,-7.42838e-05,0.000605493,0.00415354,-0.0205721,0.00556588,-0.0630986,-0.00171883,-0.000357216,-0.00420232,0.0312791,500,62.5,0.5,100,100,0,1.99935,0.298424,5.60152e-05,0.00960006,-0.00967848,0.0547394,-0.00616964,-0.0715333,0.000133847,0.00914464,-0.00321673,-0.0217986,500,62.5,0.5,100,100,0,7.85142e-08,0.5,-9.50209e-09,2.50914e-06,2.48072e-06,5.74624e-05,-0.000165893,-2.83428e-05,9.95421e-05,7.14413e-05,-2.37886e-06,8.38816e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.289723,0.029714,0,-1.99949,0.297809,-6.80897e-05,-0.00284172,-0.00537853,-0.035251,-0.010532,-0.0460821,0.0004321,-0.00511882,-0.0163887,-0.0157734,500,62.5,0.5,100,100,0,1.99955,0.297775,2.7321e-05,-0.0102902,0.0105598,-0.0252265,0.012934,-0.0435961,-0.00239896,-0.0277207,0.0283731,-0.111518,500,62.5,0.5,100,100,0,1.42135e-07,0.5,1.12327e-08,-1.7825e-06,-9.8354e-07,4.13616e-05,-0.000163026,-2.77831e-05,0.000101537,7.27878e-05,-2.20064e-06,8.30916e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.320151,0.030428,0,-1.99974,0.297713,-3.94331e-05,0.000467628,-0.000919394,-0.0362199,-0.0211044,-0.00848213,0.00180964,0.00104897,0.00280402,0.018291,500,62.5,0.5,100,100,0,1.99981,0.297745,2.65826e-06,-0.000791268,0.00267416,0.0363816,0.0222717,-0.00617243,-0.00377787,0.0105576,0.00225607,0.0302822,500,62.5,0.5,100,100,0,5.90065e-08,0.5,1.65091e-08,-3.18423e-06,-4.4553e-07,5.38773e-05,-0.00016547,-2.8363e-05,0.000100562,7.13248e-05,-2.32571e-06,8.32396e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.347321,0.02717,0,-2.00001,0.29794,-1.0413e-05,0.000107869,0.00252054,-0.0422143,-0.0263631,0.00458913,0.00298113,0.00325351,0.0100232,-0.00431934,500,62.5,0.5,100,100,0,2.00005,0.297996,-2.77774e-05,0.00705271,3.92924e-05,0.0464839,0.0242883,0.0193921,-0.00399679,0.010689,0.00507924,-0.0114497,500,62.5,0.5,100,100,0,1.67255e-07,0.5,3.67809e-08,1.1693e-05,2.75505e-06,4.91438e-05,-0.000162444,-2.75783e-05,0.000101523,7.32719e-05,-2.17563e-06,8.34088e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.369803,0.022482,0,-2.00021,0.298184,1.77069e-05,0.00143493,0.00350008,-0.03976,-0.0243861,0.0111193,0.00352888,0.00568344,0.0087234,-0.00693815,500,62.5,0.5,100,100,0,2.00023,0.298344,-5.24562e-05,-7.71262e-05,0.00311792,0.0261918,0.0210399,0.0307723,-0.00358648,-0.00982943,0.0121016,-0.0346056,500,62.5,0.5,100,100,0,9.68947e-08,0.5,-2.65891e-08,-2.31116e-06,1.39442e-06,4.38206e-05,-0.000166568,-2.69374e-05,9.85859e-05,7.70478e-05,-2.46514e-06,8.80781e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.399062,0.029259,0,-2.00033,0.298403,3.86062e-05,0.00120924,0.00199811,-0.0424801,-0.019326,0.0126729,0.00326208,0.00419946,0.00630754,-0.0237839,500,62.5,0.5,100,100,0,2.00032,0.298676,-6.33648e-05,-0.00215169,0.00261946,0.0357708,0.0152412,0.0324853,-0.00267956,-0.00565683,0.00853293,0.014829,500,62.5,0.5,100,100,0,1.13768e-07,0.5,-4.49639e-08,1.22328e-06,9.4418e-07,5.1253e-05,-0.000164187,-2.64836e-05,0.000100184,7.77205e-05,-2.31657e-06,8.71935e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.423036,0.023974,0,-2.00038,0.298565,5.19173e-05,0.000882219,0.00197297,-0.0450418,-0.0137421,0.0112372,0.00269225,0.00421446,0.00804396,-0.0324753,500,62.5,0.5,100,100,0,2.00034,0.298915,-6.33919e-05,0.00119875,0.00147523,0.0433126,0.00913257,0.0289376,-0.00159638,0.00086993,0.00601981,0.030169,500,62.5,0.5,100,100,0,1.05813e-07,0.5,3.24605e-08,-6.92695e-06,1.34061e-06,3.94306e-05,-0.000163552,-2.82643e-05,0.000103666,7.12497e-05,-2.13989e-06,8.1278e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.448938,0.025902,0,-2.00036,0.298657,5.62592e-05,0.00117681,0.00225475,-0.0437993,-0.00845282,0.00783818,0.00197487,0.00502283,0.00817834,-0.0321444,500,62.5,0.5,100,100,0,2.0003,0.299036,-5.5125e-05,0.000747026,0.0010797,0.0390412,0.00372909,0.0216103,-0.000587392,-0.00395503,0.00507295,0.0254634,500,62.5,0.5,100,100,0,1.96675e-08,0.5,8.64178e-09,-2.71662e-06,2.80001e-06,4.7633e-05,-0.000164992,-2.96063e-05,9.8616e-05,6.64341e-05,-2.35966e-06,8.04521e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
